"Station","Name","Höhe","Longitude","Latitude","Time","Temperatur (°C)","Niederschlag (mm)","Sonnenschein (min)","Globalstrahlung (W/m^2)","Luftfeuchtigkeit (%)","Windgeschwindigkeit (km/h)","Index"
"MER","Meiringen",588,"655844","175930",201907081050,20.2,0,0,177,77,7.2,61
"MOB","Montagnier, Bagnes",839,"583492","102189",201907081050,24.2,0,-,-,45,11.9,-
"MVE","Montana",1427,"601709","127488",201907081050,18.3,0,1,386,47,8.6,55
"GEN","Monte Generoso",1600,"722503","87456",201907081050,18.1,0,10,896,51,4,65
"MRP","Monte Rosa-Plattje",2885,"629149","89520",201907081050,11.3,-,10,1039,40,6.1,-
"MOA","Mosen",453,"660127","232851",201907081050,23.1,0,10,930,55,10.1,67
"MTE","Mottec",1580,"614325","110730",201907081050,16.9,0,0,273,55,10.8,53
"MOE","Möhlin",343,"633053","269147",201907081050,20.7,0,3,558,68,10.1,61
"MUB","Mühleberg",479,"587792","202479",201907081050,25,0,9,1047,53,5.4,71
"MSK","Mühleberg/Stockeren",775,"588150","200125",201907081050,-,-,10,1066,-,-,-
"NAS","Naluns/Schlivera",2380,"815374","188987",201907081050,8.9,-,0,302,70,19.8,-
"NAP","Napf",1403,"638136","206078",201907081050,15.6,0,3,569,82,9.7,59
"NEU","Neuchâtel",485,"563086","205559",201907081050,24.8,0,7,842,53,6.5,68
"CGI","Nyon/Changins",455,"506878","139572",201907081050,26.3,0,7,703,52,9.7,67
"OBR","Oberriet/Kriessern",409,"764170","249582",201907081050,19.8,0,-,-,75,6.1,-
"AEG","Oberägeri",724,"688728","220956",201907081050,-,-,-,-,-,4.7,-
"ORO","Oron",828,"555505","158052",201907081050,21.4,0,0,207,56,10.1,57
"BEH","Passo del Bernina",2260,"798422","143020",201907081050,12.1,0,1,562,49,25.6,41
"PAY","Payerne",490,"562131","184611",201907081050,24.9,0,10,968,57,8.6,70
"PIL","Pilatus",2106,"661904","203410",201907081050,12.1,0,1,761,79,8.6,56
"PIO","Piotta",990,"695880","152264",201907081050,26.2,0,10,1135,27,15.1,63
"COV","Piz Corvatsch",3302,"783150","143521",201907081050,2.2,0,0,238,82,10.4,44
"PMA","Piz Martegnas",2670,"760261","160570",201907081050,6.3,0,10,854,88,5.4,59
"PLF","Plaffeien",1042,"586828","177406",201907081050,19,0,0,175,70,7.9,58
"ROB","Poschiavo/Robbia",1078,"801992","136248",201907081050,22.3,0,0,422,37,7.2,58
"PUY","Pully",455,"540819","151510",201907081050,23.1,0,0,233,63,2.2,64
"QUI","Quinten",419,"734848","221278",201907081050,-,-,-,-,-,6.1,-
"ROE","Robièi",1896,"682587","144091",201907081050,14.8,0,3,565,47,11.2,52
"RUE","Rünenberg",611,"633252","253845",201907081050,19.6,0,0,646,68,11.9,58
"SBE","S. Bernardino",1638,"734115","147294",201907081050,19.4,0,9,914,38,6.8,62
"HAI","Salen-Reutenen",718,"719099","279047",201907081050,17.2,0,0,454,86,7.6,60
"SAM","Samedan",1708,"787249","155685",201907081050,17.2,0,6,857,51,15.5,55
"SAG","Sattel, SZ",790,"690999","215145",201907081050,19.7,0,-,-,68,3.2,-
"SHA","Schaffhausen",438,"688702","282803",201907081050,20.6,0,0,254,69,8.3,59
"SRS","Schiers",626,"769617","205125",201907081050,17.5,0,-,-,87,3.6,-
"SCM","Schmerikon",408,"713725","231533",201907081050,-,-,-,-,-,2.5,-
"SPF","Schüpfheim",744,"643683","199710",201907081050,20.6,0,0,316,63,16.2,54
"SCU","Scuol",1303,"817137","186393",201907081050,14,0,0,345,81,5,58
"SIA","Segl-Maria",1804,"778574","144976",201907081050,18,0,8,1020,46,4.3,64
"SIM","Simplon-Dorf",1465,"647683","116340",201907081050,20.4,0,10,978,35,21.2,55
"SIO","Sion",482,"591633","118583",201907081050,25.2,0,6,718,49,13.3,63
"PRE","St-Prex",425,"523549","148525",201907081050,-,-,-,-,-,8.3,-
"STC","St. Chrischona",493,"618695","269036",201907081050,-,-,0,792,-,-,-
"STG","St. Gallen",775,"747865","254588",201907081050,15.2,0.1,0,76,87,9,36
"SMM","Sta. Maria, Val Müstair",1386,"828861","165579",201907081050,18.9,0,0,364,38,6.8,55
"SBO","Stabio",353,"716048","77973",201907081050,29.2,0,10,960,41,4,74
"STK","Steckborn",397,"715870","280916",201907081050,-,-,-,-,-,9,-
"SAE","Säntis",2502,"744183","234918",201907081050,5,0,0,652,99,13.7,41
"THU","Thun",570,"611200","177640",201907081050,23.3,0,10,708,63,6.8,69
"TIT","Titlis",3040,"675400","180400",201907081050,2.3,-,0,59,100,19.8,-
"UEB","Uetliberg",854,"679454","245034",201907081050,-,-,7,933,-,-,-
"ULR","Ulrichen",1345,"666747","150767",201907081050,19.7,0,2,527,43,4,60
"VAD","Vaduz",457,"757722","221699",201907081050,19.1,0,0,206,76,1.1,63
"VAB","Valbella",1568,"761634","180385",201907081050,12.1,0,0,223,93,11.5,46
"VLS","Vals",1242,"734016","165551",201907081050,15.9,0,-,-,78,6.8,-
"VEV","Vevey/Corseaux",405,"552106","146847",201907081050,24.7,0,10,987,55,7.2,70
"VIO","Vicosoprano",1089,"768485","135866",201907081050,23.9,0,10,968,35,10.8,64
"VIT","Villars-Tiercelin",859,"544198","163650",201907081050,22.4,0,-,-,61,8.6,-
"VIS","Visp",639,"631150","128024",201907081050,23.1,0,0,396,54,24.5,50
"WFJ","Weissfluhjoch",2691,"780614","189634",201907081050,4.5,0.2,0,146,90,9.7,27
"WYN","Wynau",422,"626404","233848",201907081050,23.7,0,2,649,51,9,62
"WAE","Wädenswil",485,"693847","230744",201907081050,22,0,7,843,62,6.5,67
"PSI","Würenlingen/PSI",334,"659355","265380",201907081050,23.9,0,1,713,56,-,-
"ZER","Zermatt",1638,"624298","97574",201907081050,-,-,-,-,-,-,-
"REH","Zürich/Affoltern",443,"681432","253548",201907081050,23,0,9,980,61,6.5,70
"SMA","Zürich/Fluntern",555,"685116","248065",201907081050,21.8,0,5,675,61,3.2,67
"KLO","Zürich/Kloten",426,"682710","259338",201907081050,22.7,0,7,929,61,7.6,67
