"Station","Name","Höhe","Longitude","Latitude","Time","Temperatur (°C)","Niederschlag (mm)","Sonnenschein (min)","Globalstrahlung (W/m^2)","Luftfeuchtigkeit (%)","Windgeschwindigkeit (km/h)","Index"
"OTL","Locarno / Monti",366,704172,114342,"2020-02-26 10:20:00",10.2,0,10,579,37,9.7,52
"LUG","Lugano",273,717873,95884,"2020-02-26 10:20:00",10.9,0,0,113,22,13.7,40
"LUZ","Luzern",454,665543,209849,"2020-02-26 10:20:00",2.9,0.1,0,23,77,27.7,14
"LAE","Lägern",845,672250,259460,"2020-02-26 10:20:00",-2.4,-,0,77,98,28.1,-
"MAG","Magadino / Cadenazzo",203,715479,113161,"2020-02-26 10:20:00",11.7,0,10,545,31,9,53
"MAS","Marsens",714,571758,167316,"2020-02-26 10:20:00",-0.7,0,-,-,85,11.5,41
"MAH","Mathod",437,533458,176567,"2020-02-26 10:20:00",2.5,0,3,177,70,27.4,35
"MTR","Matro",2171,714263,140943,"2020-02-26 10:20:00",-8,-,0,68,66,20.9,-
"MER","Meiringen",588,655844,175930,"2020-02-26 10:20:00",1.2,0.1,0,11,80,16.2,18
"MOB","Montagnier, Bagnes",839,583492,102189,"2020-02-26 10:20:00",-0.5,0,-,-,96,4.7,39
"MVE","Montana",1427,601709,127488,"2020-02-26 10:20:00",-4.4,0.1,0,120,96,19.1,11
"GEN","Monte Generoso",1600,722503,87456,"2020-02-26 10:20:00",-0.3,0,0,233,33,32,26
"MRP","Monte Rosa-Plattje",2885,629149,89520,"2020-02-26 10:20:00",-14.2,-,0,134,86,7.9,-
"MOA","Mosen",453,660127,232851,"2020-02-26 10:20:00",0.6,0,0,117,96,10.8,37
"MTE","Mottec",1580,614325,110730,"2020-02-26 10:20:00",-5.6,0.2,0,9,84,11.5,21
"MOE","Möhlin",343,633053,269147,"2020-02-26 10:20:00",1.8,0,0,94,87,32,35
"MUB","Mühleberg",479,587792,202479,"2020-02-26 10:20:00",2.1,0,0,192,71,29.5,33
"MSK","Mühleberg / Stockeren",775,588150,200125,"2020-02-26 10:20:00",-,-,0,208,-,-,-
"NAS","Naluns / Schlivera",2380,815374,188987,"2020-02-26 10:20:00",-8.5,-,10,508,42,23.4,-
"NAP","Napf",1403,638136,206078,"2020-02-26 10:20:00",-4.6,0.2,0,87,96,24.8,7
"NEU","Neuchâtel",485,563086,205559,"2020-02-26 10:20:00",1.9,0,0,126,65,22.3,34
"CGI","Nyon / Changins",455,506878,139572,"2020-02-26 10:20:00",1.4,0.1,0,9,88,17.6,19
